"Data","Abertura","Fechamento","Variacao","Minimo","Maximo"
2022-02-24,"2.47","2.57","-0.39","2.42","2.58"
2022-02-23,"2.63","2.58","-1.90","2.57","2.69"
2022-02-22,"2.66","2.63","0.38","2.6","2.7"
2022-02-21,"2.74","2.62","-3.32","2.6","2.74"
2022-02-18,"2.73","2.71","-0.37","2.71","2.76"
2022-02-17,"2.74","2.72","-1.09","2.7","2.77"
2022-02-16,"2.68","2.75","3.38","2.66","2.75"
2022-02-15,"2.64","2.66","1.92","2.61","2.68"
2022-02-14,"2.61","2.61","-1.14","2.59","2.68"
2022-02-11,"2.78","2.64","-5.04","2.63","2.82"
2022-02-10,"2.78","2.78","1.09","2.72","2.83"
2022-02-09,"2.8","2.75","-1.79","2.74","2.85"
2022-02-08,"2.68","2.8","4.09","2.66","2.8"
2022-02-07,"2.66","2.69","0.75","2.66","2.72"
2022-02-04,"2.76","2.67","-3.26","2.66","2.77"
2022-02-03,"2.8","2.76","-0.72","2.7","2.8"
2022-02-02,"2.68","2.78","4.91","2.64","2.85"
2022-02-01,"2.6","2.65","1.15","2.58","2.66"
2022-01-31,"2.43","2.62","8.26","2.42","2.62"
2022-01-28,"2.45","2.42","-2.02","2.36","2.5"
2022-01-27,"2.41","2.47","3.35","2.41","2.47"
2022-01-26,"2.42","2.39","0.00","2.38","2.45"
2022-01-25,"2.3","2.39","3.02","2.27","2.4"
2022-01-24,"2.32","2.32","-0.85","2.24","2.38"
2022-01-21,"2.25","2.34","4.00","2.22","2.39"
2022-01-20,"2.19","2.25","4.17","2.19","2.28"
2022-01-19,"2.09","2.16","4.85","2.09","2.16"
2022-01-18,"2.13","2.06","-3.74","2.06","2.15"
2022-01-17,"2.18","2.14","-1.38","2.14","2.19"
2022-01-14,"2.18","2.17","-0.91","2.15","2.21"
2022-01-13,"2.17","2.19","-0.90","2.17","2.26"
2022-01-12,"2.15","2.21","3.76","2.14","2.22"
2022-01-11,"2.08","2.13","1.91","2.07","2.14"
2022-01-10,"2.13","2.09","-1.42","2.08","2.14"
2022-01-07,"2.16","2.12","-2.30","2.1","2.24"
2022-01-06,"2.17","2.17","1.88","2.09","2.2"
2022-01-05,"2.26","2.13","-5.75","2.13","2.28"
2022-01-04,"2.35","2.26","-3.83","2.26","2.38"
2022-01-03,"2.46","2.35","-3.29","2.34","2.49"
2021-12-30,"2.42","2.43","0.83","2.39","2.5"
2021-12-29,"2.51","2.41","-4.37","2.41","2.52"
2021-12-28,"2.43","2.52","3.70","2.43","2.52"
2021-12-27,"2.45","2.43","0.83","2.39","2.46"
2021-12-23,"2.43","2.41","-0.82","2.4","2.44"
2021-12-22,"2.45","2.43","-1.22","2.4","2.49"
2021-12-21,"2.54","2.46","-2.77","2.46","2.55"
2021-12-20,"2.59","2.53","-3.07","2.51","2.6"
2021-12-17,"2.62","2.61","-0.76","2.56","2.64"
2021-12-16,"2.73","2.63","-2.59","2.61","2.76"
2021-12-15,"2.7","2.7","0.37","2.64","2.71"
2021-12-14,"2.78","2.69","-2.89","2.69","2.79"
2021-12-13,"2.82","2.77","-1.77","2.74","2.88"
2021-12-10,"2.76","2.82","3.30","2.73","2.82"
2021-12-09,"2.72","2.73","-0.73","2.69","2.82"
2021-12-08,"2.78","2.75","-0.72","2.74","2.9"
2021-12-07,"2.83","2.77","-0.36","2.77","2.87"
2021-12-06,"2.72","2.78","3.35","2.7","2.84"
2021-12-03,"2.67","2.69","0.75","2.67","2.77"
2021-12-02,"2.64","2.67","2.69","2.61","2.71"
2021-12-01,"2.7","2.6","-2.99","2.6","2.77"
2021-11-30,"2.73","2.68","-1.83","2.6","2.74"
2021-11-29,"2.78","2.73","0.00","2.73","2.83"
2021-11-26,"2.84","2.73","-6.19","2.7","2.84"
2021-11-25,"2.87","2.91","2.11","2.87","2.99"
2021-11-24,"2.86","2.85","-0.35","2.84","2.93"
2021-11-23,"2.89","2.86","0.00","2.79","2.91"
2021-11-22,"2.96","2.86","-3.05","2.86","3.02"
2021-11-19,"2.94","2.95","0.68","2.92","3.06"
2021-11-18,"2.97","2.93","-1.01","2.92","3.07"
2021-11-17,"3.08","2.96","-3.27","2.92","3.11"
2021-11-16,"3.16","3.06","-3.16","3.03","3.25"
2021-11-12,"3.23","3.16","-2.17","3.12","3.32"
2021-11-11,"3.08","3.23","5.21","3.08","3.23"
2021-11-10,"3.03","3.07","1.66","3.01","3.15"
2021-11-09,"3","3.02","1.34","2.99","3.1"
2021-11-08,"3.08","2.98","-3.56","2.97","3.1"
2021-11-05,"3.03","3.09","3.69","3.02","3.12"
2021-11-04,"3.19","2.98","-6.88","2.96","3.19"
2021-11-03,"2.9","3.2","9.97","2.88","3.2"
2021-11-01,"2.84","2.91","3.56","2.82","2.95"
2021-10-29,"2.92","2.81","-3.44","2.81","2.94"
2021-10-28,"3","2.91","-3.96","2.91","3.05"
2021-10-27,"3.1","3.03","-1.62","3.02","3.16"
2021-10-26,"3.17","3.08","-4.64","3.06","3.24"
2021-10-25,"3.02","3.23","8.75","3.02","3.27"
2021-10-22,"3.01","2.97","-2.62","2.8","3.05"
2021-10-21,"3.03","3.05","-1.29","2.94","3.09"
2021-10-20,"3.16","3.09","-1.59","3.06","3.17"
2021-10-19,"3.27","3.14","-4.27","3.12","3.27"
2021-10-18,"3.26","3.28","-0.30","3.21","3.33"
2021-10-15,"3.27","3.29","0.61","3.25","3.31"
2021-10-14,"3.38","3.27","-2.97","3.24","3.41"
2021-10-13,"3.29","3.37","3.06","3.26","3.42"
2021-10-11,"3.28","3.27","-0.91","3.24","3.36"
2021-10-08,"3.22","3.3","3.12","3.21","3.36"
2021-10-07,"3.24","3.2","-0.31","3.17","3.27"
2021-10-06,"3.22","3.21","-1.23","3.12","3.22"
2021-10-05,"3.33","3.25","-2.40","3.24","3.33"
2021-10-04,"3.4","3.33","-2.06","3.26","3.4"
2021-10-01,"3.24","3.4","6.25","3.18","3.44"
2021-09-30,"3.26","3.2","-1.23","3.2","3.31"
2021-09-29,"3.27","3.24","0.31","3.21","3.33"
2021-09-28,"3.36","3.23","-5.00","3.21","3.37"
2021-09-27,"3.42","3.4","-0.29","3.35","3.45"
2021-09-24,"3.32","3.41","2.10","3.28","3.41"
2021-09-23,"3.37","3.34","-0.89","3.34","3.44"
2021-09-22,"3.3","3.37","3.37","3.29","3.39"
2021-09-21,"3.29","3.26","1.56","3.23","3.34"
2021-09-20,"3.25","3.21","-4.18","3.16","3.29"
2021-09-17,"3.33","3.35","0.90","3.24","3.35"
2021-09-16,"3.35","3.32","-1.48","3.3","3.42"
2021-09-15,"3.4","3.37","-0.59","3.31","3.42"
2021-09-14,"3.48","3.39","-2.87","3.38","3.55"
2021-09-13,"3.4","3.49","4.18","3.37","3.55"
2021-09-10,"3.37","3.35","-0.30","3.35","3.54"
2021-09-09,"3.17","3.36","6.67","3.16","3.38"
2021-09-08,"3.37","3.15","-6.53","3.15","3.39"
2021-09-06,"3.29","3.37","2.43","3.27","3.42"
2021-09-03,"3.42","3.29","-2.66","3.25","3.45"
2021-09-02,"3.58","3.38","-5.59","3.37","3.6"
2021-09-01,"3.67","3.58","-2.19","3.55","3.69"
2021-08-31,"3.63","3.66","1.10","3.55","3.68"
2021-08-30,"3.76","3.62","-3.72","3.62","3.76"
2021-08-27,"3.74","3.76","1.62","3.71","3.81"
2021-08-26,"3.8","3.7","-3.39","3.7","3.86"
2021-08-25,"3.82","3.83","0.26","3.74","3.86"
2021-08-24,"3.85","3.82","-0.26","3.79","3.9"
2021-08-23,"3.79","3.83","1.06","3.75","3.86"
2021-08-20,"3.62","3.79","4.12","3.6","3.79"
2021-08-19,"3.46","3.64","3.41","3.42","3.65"
2021-08-18,"3.4","3.52","3.83","3.4","3.61"
2021-08-17,"3.5","3.39","-3.14","3.32","3.5"
2021-08-16,"3.61","3.5","-4.11","3.48","3.67"
2021-08-13,"3.64","3.65","2.24","3.51","3.7"
2021-08-12,"3.5","3.57","2.00","3.49","3.62"
2021-08-11,"3.7","3.5","-5.41","3.48","3.71"
2021-08-10,"3.74","3.7","-1.07","3.66","3.82"
2021-08-09,"3.71","3.74","0.00","3.68","3.76"
2021-08-06,"3.66","3.74","1.91","3.61","3.8"
2021-08-05,"3.83","3.67","-3.42","3.59","3.84"
2021-08-04,"3.85","3.8","-1.30","3.74","3.85"
2021-08-03,"3.81","3.85","0.79","3.7","3.86"
2021-08-02,"3.94","3.82","-1.55","3.82","3.97"
2021-07-30,"3.92","3.88","-2.02","3.85","3.95"
2021-07-29,"3.99","3.96","-0.75","3.92","4.05"
2021-07-28,"3.94","3.99","1.53","3.91","4.05"
2021-07-27,"4","3.93","-2.24","3.85","4.02"
2021-07-26,"4.1","4.02","-1.95","4","4.13"
2021-07-23,"4.16","4.1","-1.68","4.1","4.2"
2021-07-22,"4.2","4.17","-0.71","4.1","4.24"
2021-07-21,"4.03","4.2","4.48","3.98","4.26"
2021-07-20,"3.96","4.02","1.52","3.91","4.06"
2021-07-19,"3.9","3.96","0.51","3.87","4"
2021-07-16,"4.01","3.94","-1.50","3.92","4.07"
2021-07-15,"4.09","4","-2.20","4","4.12"
2021-07-14,"4.15","4.09","-2.39","4.09","4.29"
2021-07-13,"4.12","4.19","0.00","4.11","4.24"
2021-07-12,"3.87","4.19","8.55","3.87","4.24"
2021-07-08,"3.86","3.86","-1.78","3.79","3.89"
2021-07-07,"3.88","3.93","1.81","3.81","3.95"
2021-07-06,"3.95","3.86","-3.02","3.85","3.98"
2021-07-05,"4.05","3.98","0.00","3.94","4.05"
2021-07-02,"3.96","3.98","1.02","3.96","4.05"
2021-07-01,"4.06","3.94","-3.19","3.93","4.08"
2021-06-30,"4.05","4.07","0.00","4.01","4.12"
2021-06-29,"4.16","4.07","-2.16","4.01","4.17"
2021-06-28,"4.29","4.16","-3.26","4.09","4.34"
2021-06-25,"4.4","4.3","-1.38","4.25","4.42"
2021-06-24,"4.42","4.36","-0.91","4.33","4.44"
2021-06-23,"4.34","4.4","0.69","4.26","4.48"
2021-06-22,"4.56","4.37","-2.89","4.33","4.65"
2021-06-21,"4.38","4.5","4.90","4.32","4.54"
2021-06-18,"4.19","4.29","2.39","4.17","4.3"
2021-06-17,"4.36","4.19","-3.68","4.13","4.36"
2021-06-16,"4.37","4.35","0.00","4.29","4.41"
2021-06-15,"4.38","4.35","-0.46","4.29","4.46"
2021-06-14,"4.29","4.37","1.86","4.27","4.49"
2021-06-11,"4.38","4.29","-1.83","4.24","4.39"
2021-06-10,"4.37","4.37","0.00","4.28","4.41"
2021-06-09,"4.45","4.37","0.69","4.35","4.5"
2021-06-08,"4.23","4.34","2.36","4.23","4.39"
2021-06-07,"4.28","4.24","-0.70","4.2","4.37"
2021-06-04,"4.11","4.27","3.89","4.09","4.29"
2021-06-02,"4.1","4.11","0.24","4.03","4.15"
2021-06-01,"4.07","4.1","2.76","4.05","4.2"
