"Data","Abertura","Fechamento","Variacao","Minimo","Maximo"
2022-02-23,2.58,2.69,-1.9,2.57,2.69
2022-02-22,2.63,2.7,0.38,2.6,2.7
2022-02-21,2.62,2.74,-3.32,2.6,2.74
2022-02-18,2.71,2.76,-0.37,2.71,2.76
2022-02-17,2.72,2.77,-1.09,2.7,2.77
2022-02-16,2.75,2.75,3.38,2.66,2.75
2022-02-15,2.66,2.68,1.92,2.61,2.68
2022-02-14,2.61,2.68,-1.14,2.59,2.68
2022-02-11,2.64,2.82,-5.04,2.63,2.82
2022-02-10,2.78,2.83,1.09,2.72,2.83
2022-02-09,2.75,2.85,-1.79,2.74,2.85
2022-02-08,2.8,2.8,4.09,2.66,2.8
2022-02-07,2.69,2.72,0.75,2.66,2.72
2022-02-04,2.67,2.77,-3.26,2.66,2.77
2022-02-03,2.76,2.8,-0.72,2.7,2.8
2022-02-02,2.78,2.85,4.91,2.64,2.85
2022-02-01,2.65,2.66,1.15,2.58,2.66
2022-01-31,2.62,2.62,8.26,2.42,2.62
2022-01-28,2.42,2.5,-2.02,2.36,2.5
